Date,Capital
2017-05-04,127150.9109
2017-05-05,127204.6323
2017-05-08,126956.169
2017-05-09,127385.3511
2017-05-10,127367.8981
2017-05-11,127100.6131
2017-05-12,127806.5999
2017-05-15,127408.9593
2017-05-16,125954.0399
2017-05-17,126958.0607
2017-05-18,127565.4467
2017-05-19,128105.2106
2017-05-22,128559.7192
2017-05-23,129281.1564
2017-05-24,129580.0093
2017-05-25,129995.9339
2017-05-26,129693.9125
2017-05-30,128961.022
2017-05-31,130327.1897
2017-06-01,131059.9785
2017-06-02,131592.9741
2017-06-05,130780.0954
2017-06-06,131255.3721
2017-06-07,131330.1406
2017-06-08,131718.9287
2017-06-09,130303.3199
2017-06-12,131883.7216
2017-06-13,131828.5952
2017-06-14,131577.2225
2017-06-15,130426.1436
2017-06-16,132687.235
2017-06-19,132258.3185
2017-06-20,132260.3613
2017-06-21,132001.5535
2017-06-22,131508.2457
2017-06-23,131892.0639
2017-06-26,130459.0887
2017-06-27,131818.6696
2017-06-28,130523.7225
2017-06-29,130162.6757
2017-06-30,129817.8751
2017-07-03,130798.9797
2017-07-05,129763.7001
2017-07-06,130134.1339
2017-07-07,129497.882
2017-07-10,128973.421
2017-07-11,129638.6359
2017-07-12,130150.1267
2017-07-13,131014.6174
2017-07-14,131055.883
2017-07-17,131532.2093
2017-07-18,132154.8526
2017-07-19,133085.0165
2017-07-20,133437.0065
2017-07-21,133116.5175
2017-07-24,133591.2187
2017-07-25,133629.5286
2017-07-26,133698.7392
2017-07-27,133765.36
2017-07-28,133203.0217
2017-07-31,133612.8557
2017-08-01,133556.9524
2017-08-02,133818.5498
2017-08-03,134445.8872
2017-08-04,134786.3391
2017-08-07,134734.3404
2017-08-08,135046.0264
2017-08-09,133285.709
2017-08-10,133530.7866
2017-08-11,135451.1955
2017-08-14,135349.9887
2017-08-15,135675.7495
2017-08-16,133702.5734
2017-08-17,132508.633
2017-08-18,132898.3127
2017-08-21,134586.3692
2017-08-22,134381.2859
2017-08-23,134512.4627
2017-08-24,134739.476
2017-08-25,134926.1867
2017-08-28,134943.2066
2017-08-29,135293.6804
2017-08-30,135691.8005
2017-08-31,136152.7356
2017-09-01,134575.0576
2017-09-05,134926.3799
2017-09-06,135108.5772
2017-09-07,135551.3198
2017-09-08,137777.0936
2017-09-11,138496.1475
2017-09-12,138440.2326
2017-09-13,138312.7404
2017-09-14,139764.0055
2017-09-15,139585.9732
2017-09-18,139726.2942
2017-09-19,139977.5424
2017-09-20,138894.7614
2017-09-21,138673.2592
2017-09-22,137797.1918
2017-09-25,137656.6184
2017-09-26,137659.0606
2017-09-27,138082.4759
2017-09-28,138144.1283
2017-09-29,138783.5282
2017-10-02,139199.3197
2017-10-03,139687.5262
2017-10-04,140783.825
2017-10-05,140741.8567
2017-10-06,141056.5757
2017-10-09,141138.4048
2017-10-10,141395.9605
2017-10-11,140875.7698
2017-10-12,140821.725
2017-10-13,141429.8743
2017-10-16,141965.3401
2017-10-17,142625.9568
2017-10-18,142588.4299
2017-10-19,142959.9036
2017-10-20,142202.2956
2017-10-23,142363.5404
2017-10-24,142186.9669
2017-10-25,142224.6184
2017-10-26,142770.8669
2017-10-27,141677.258
2017-10-30,141758.9874
2017-10-31,142192.3719
2017-11-01,142268.6349
2017-11-02,143029.8154
2017-11-03,142499.4203
2017-11-06,142609.2077
2017-11-07,143179.3853
2017-11-08,142377.5059
2017-11-09,143272.4646
2017-11-10,143289.6631
2017-11-13,143100.5994
2017-11-14,142871.0773
2017-11-15,145588.7623
2017-11-16,144764.3801
2017-11-17,144673.0511
2017-11-20,145789.1156
2017-11-21,145737.793
2017-11-22,146085.5394
2017-11-24,146394.9504
2017-11-27,147594.9712
2017-11-28,145961.3395
2017-11-29,147964.1456
2017-11-30,148413.7018
2017-12-01,146545.3286
2017-12-04,147208.3668
2017-12-05,146317.0679
2017-12-06,146784.1772
2017-12-07,147704.1145
2017-12-08,149063.0931
2017-12-11,150227.5298
2017-12-12,150613.9302
2017-12-13,149733.4861
2017-12-14,151064.6184
2017-12-15,151878.2756
2017-12-18,151695.4796
2017-12-19,151377.0023
2017-12-20,151803.4255
2017-12-21,151912.9219
2017-12-22,152016.7794
2017-12-26,152072.2704
2017-12-27,152383.9569
2017-12-28,151864.0185
2017-12-29,153895.1297
2018-01-02,154348.9438
2018-01-03,155771.9796
2018-01-04,157257.3598
2018-01-05,156749.7798
2018-01-08,157478.1448
2018-01-09,157350.8958
2018-01-10,158503.0699
2018-01-11,159133.9282
2018-01-12,158726.8054
2018-01-16,160363.7909
2018-01-17,159688.1135
2018-01-18,160276.3181
2018-01-19,161077.7244
2018-01-22,161911.1278
2018-01-23,162673.2705
2018-01-24,162594.8507
2018-01-25,164389.5414
2018-01-26,162980.4285
2018-01-29,161327.5915
2018-01-30,160461.6222
2018-01-31,160700.4099
2018-02-01,158641.0445
2018-02-02,151129.125
2018-02-05,155515.3034
2018-02-06,156115.7036
2018-02-07,150068.2887
2018-02-08,154622.3293
2018-02-09,157192.3664
2018-02-12,157795.2813
2018-02-13,159049.3459
2018-02-14,160498.7453
2018-02-15,160667.6624
2018-02-16,160946.1037
2018-02-20,159231.6745
2018-02-21,159886.5382
2018-02-22,162674.1314
2018-02-23,164877.0395
2018-02-26,162782.9655
2018-02-27,160021.2426
2018-02-28,157488.6551
2018-03-01,157727.6132
2018-03-02,159896.0022
2018-03-05,161207.2763
2018-03-06,161251.7398
2018-03-07,162394.9929
2018-03-08,166152.4138
2018-03-09,164991.4464
2018-03-12,164594.1499
2018-03-13,163218.4346
2018-03-14,163561.9943
2018-03-15,163723.657
2018-03-16,161605.8469
2018-03-19,162575.9796
2018-03-20,161415.7315
2018-03-21,157785.1741
2018-03-22,154513.8382
2018-03-23,160516.3586
2018-03-26,160393.5401
2018-03-27,158649.1168
2018-03-28,161980.8978
2018-03-29,159415.5742
2018-04-02,162287.9564
2018-04-03,164438.681
2018-04-04,166030.2616
2018-04-05,162352.5618
2018-04-06,162521.9307
2018-04-09,164126.4704
2018-04-10,163360.5646
2018-04-11,166037.341
2018-04-12,166468.3958
2018-04-13,167236.3775
2018-04-16,169354.9748
2018-04-17,169543.5211
2018-04-18,168881.4827
2018-04-19,167573.7152
2018-04-20,167993.4412
2018-04-23,164092.3996
2018-04-24,164287.525
2018-04-25,166396.6415
2018-04-26,166830.6116
2018-04-27,166977.8844
2018-04-30,166456.981
2018-05-01,164568.3357
2018-05-02,165084.8124
2018-05-03,167655.3716
2018-05-04,167865.4893
2018-05-07,167037.8852
2018-05-08,167329.0415
2018-05-09,168930.0268
2018-05-10,170113.2616
2018-05-11,170246.4058
2018-05-14,169270.8348
2018-05-15,169730.5497
2018-05-16,169439.1625
2018-05-17,169087.0239
2018-05-18,170427.6262
2018-05-21,169958.6771
2018-05-22,171184.1034
2018-05-23,170757.5066
2018-05-24,170292.7389
2018-05-25,167298.6703
2018-05-29,169636.5467
2018-05-30,168544.1386
2018-05-31,170108.9868
2018-06-01,171464.2337
2018-06-04,171555.2794
2018-06-05,173480.2568
2018-06-06,174303.4708
2018-06-07,174342.0064
2018-06-08,174364.186
2018-06-11,174391.9938
2018-06-12,173632.5477
2018-06-13,173678.9996
2018-06-14,173724.9859
