Date,MMM,AXP,AMGN,AMZN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,GS,HD,HON,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,NVDA,PG,CRM,SHW,TRV,UNH,VZ,V,WMT
2016-06-24,102.10923767089844,52.22023010253906,108.6894760131836,34.948001861572266,21.262474060058594,115.45147705078125,58.19255447387695,66.71515655517578,20.51150131225586,32.150142669677734,88.2286605834961,115.46978759765625,99.26512145996094,82.50724792480469,92.27533721923828,87.94844055175781,45.67848205566406,93.86697387695312,39.234962463378906,44.056129455566406,45.82633590698242,1.1210764646530151,62.623291015625,77.12568664550781,86.27622985839844,89.49502563476562,116.40687561035156,31.99949073791504,69.94422912597656,20.20737075805664
2016-06-27,100.9439468383789,50.14221954345703,107.30162048339844,34.56800079345703,20.95287322998047,111.96566772460938,56.87779235839844,65.70689392089844,20.186267852783203,32.04036331176758,86.99352264404297,113.55693817138672,97.90650939941406,81.39723205566406,90.33029174804688,88.6481704711914,44.1533203125,91.3992691040039,38.834754943847656,42.81834030151367,45.21636199951172,1.109063982963562,61.839176177978516,74.77632141113281,85.23332214355469,88.95492553710938,116.25426483154297,32.181732177734375,68.35054779052734,20.078197479248047
2016-06-28,102.39300537109375,50.34219741821289,110.15153503417969,35.397499084472656,21.305723190307617,113.05156707763672,57.78620147705078,66.53836822509766,20.54106903076172,32.33311080932617,88.53282165527344,115.91743469238281,100.1525650024414,83.29595184326172,91.71513366699219,89.9260025024414,45.61717224121094,93.1282730102539,39.02433395385742,43.711307525634766,46.262027740478516,1.125244140625,62.77555847167969,76.23116302490234,88.19480895996094,92.00206756591797,117.61087036132812,32.228759765625,70.04673767089844,20.081012725830078
2016-06-29,103.55826568603516,52.10734558105469,111.39836120605469,35.779998779296875,21.49012565612793,115.88036346435547,59.14876937866211,67.71031951904297,20.888469696044922,32.52339172363281,89.39004516601562,118.43260955810547,100.02691650390625,83.58806610107422,93.4524917602539,90.76266479492188,46.90475082397461,93.9062728881836,40.056461334228516,44.68385314941406,48.039676666259766,1.1436301469802856,63.8793830871582,77.65650177001953,88.30123901367188,94.16243743896484,119.14551544189453,32.36985778808594,71.5192642211914,20.347780227661133
2016-06-30,105.73184204101562,53.09479522705078,112.9197769165039,35.78099822998047,21.7633113861084,118.5083999633789,60.40777587890625,68.6334457397461,21.206300735473633,33.17473602294922,90.164306640625,120.93962860107422,100.27818298339844,84.94639587402344,95.54232788085938,92.26104736328125,47.62518310546875,94.57427978515625,40.44965362548828,45.24085235595703,48.10066604614258,1.1524558067321777,64.45797729492188,78.05953979492188,89.29248046875,95.96005249023438,119.72205352783203,32.82842254638672,69.12410736083984,20.505037307739258
2016-07-01,105.98541259765625,53.03361892700195,114.50057983398438,36.284000396728516,21.829328536987305,118.34414672851562,60.91775894165039,68.188232421875,21.28761100769043,33.02104949951172,90.35784912109375,120.6709976196289,101.7938461303711,85.07785034179688,95.90115356445312,92.2534408569336,47.316226959228516,94.6214370727539,40.68135070800781,45.23200607299805,48.457923889160156,1.1438754796981812,64.5417251586914,78.47239685058594,89.33198547363281,95.80693817138672,119.43379974365234,33.05771255493164,69.41302490234375,20.446069717407227
2016-07-05,106.03974914550781,51.68790054321289,114.49314880371094,36.404998779296875,21.62444305419922,115.86212921142578,59.26829147338867,67.80852508544922,21.1309757232666,33.24791717529297,90.01681518554688,117.57798767089844,101.58183288574219,84.15038299560547,95.47942352294922,92.99882507324219,45.995460510253906,94.90435791015625,40.72348403930664,45.24085235595703,48.10066604614258,1.1607909202575684,65.044189453125,77.33212280273438,89.593505859375,95.66989135742188,120.02732849121094,33.234073638916016,69.59008026123047,20.538738250732422
2016-07-06,105.75597381591797,51.97627258300781,115.8142318725586,36.88050079345703,21.747371673583984,115.85298156738281,59.62687301635742,68.46977996826172,21.421871185302734,33.130821228027344,90.74497985839844,118.49771881103516,103.32526397705078,85.31150817871094,95.91373443603516,93.28023529052734,46.48978042602539,94.80218505859375,41.537960052490234,45.426509857177734,48.62348937988281,1.1681451797485352,64.7320327758789,77.16500854492188,91.15331268310547,95.73434448242188,120.72262573242188,33.40925979614258,69.02161407470703,20.729694366455078
2016-07-07,105.58087921142578,52.2646484375,116.21497344970703,36.82849884033203,21.84070587158203,116.04460906982422,59.80218505859375,67.46806335449219,21.436792373657227,32.999088287353516,91.36703491210938,119.6535873413086,103.0032730102539,84.79305267333984,96.05854034423828,93.1813735961914,46.791011810302734,95.03009796142578,41.27114486694336,45.426509857177734,48.72806167602539,1.1985440254211426,64.5798110961914,77.42058563232422,91.85568237304688,94.72672271728516,119.38297271728516,32.88667678833008,69.44097900390625,20.648250579833984
2016-07-08,106.93934631347656,53.732704162597656,119.5621337890625,37.29050064086914,22.009172439575195,118.70916748046875,61.65082931518555,68.59416198730469,21.824649810791016,33.211326599121094,92.4904556274414,122.40475463867188,105.5006103515625,86.78671264648438,97.22937774658203,93.43997955322266,47.75648498535156,95.33657836914062,41.67135238647461,46.23991394042969,49.4251708984375,1.246593952178955,65.29539489746094,79.51435089111328,93.19960021972656,95.18621063232422,119.78146362304688,33.19548034667969,71.2210464477539,20.735305786132812
